BookTitle,AuthorName,Avg_Rating,No_of_Rating,No_of_Review,Publication_Company,Publication_Month,Publication_Year,Page_NO,Type
American Dirt,Jeanine Cummins,4.15,6698,1820,Flatiron Books,January,2020,400,Hardcover
All the Ways We Said Goodbye,Beatriz Williams,4.18,970,275,William Morrow,January,2020,448,ebook
The Other People,C.J. Tudor,4.14,1283,618,Penguin,January,2020,400,Kindle Edition
When We Were Vikings,Andrew David MacDonald,4.01,1163,410,Scout Press,January,2020,336,Kindle Edition
Followers,Megan Angelo,3.84,1381,457,Graydon House,January,2020,384,Hardcover
The Better Liar,Tanen Jones,3.67,1091,498,Ballantine,January,2020,320,ebook
Woven in Moonlight,Isabel Ibañez,4.17,817,369,Page Street Books,January,2020,384,Kindle Edition
Dark and Deepest Red,Anna-Marie McLemore,3.75,333,175,Feiwel & Friends,January,2020,309,Hardcover
You Were There Too,Colleen Oakley,3.97,1405,503,Berkley,January,2020,320,Paperback
Agency,William Gibson,4.07,815,159,Berkley,January,2020,413,Kindle Edition
Topics of Conversation,Miranda Popkey,2.87,1601,356,Knopf Publishing Group,January,2020,224,Hardcover
Highfire,Eoin Colfer,3.81,484,254,Harper Perennial,January,2020,377,Hardcover
Dreamland,Nancy Bilyeau,3.95,392,224,Endeavour Quill,January,2020,386,Paperback
Little Gods,Meng Jin,3.53,295,78,Custom House,January,2020,288,ebook
The Look-Alike,Erica Spindler,3.95,626,455,St. Martin's Press,January,2020,320,Hardcover
The Whispers of War,Julia  Kelly,3.99,455,220,Gallery Books,January,2020,336,Hardcover
The Girls with No Names,Serena Burdick,4.11,540,154,Park Row,January,2020,336,Paperback
Seven Deadly Shadows,Courtney Alameda,3.82,154,101,HarperCollins,January,2020,288,Hardcover
Cartier's Hope,M.J. Rose,3.82,289,210,Atria Books,January,2020,336,Hardcover
How Quickly She Disappears,Raymond Fleischmann,3.33,421,225,Berkley,January,2020,320,Hardcover
The Janes,Louisa Luna,4.11,375,195,Doubleday,January,2020,368,Kindle Edition
We Used To Be Friends,Amy Spalding,3.57,376,167,Amulet,January,2020,384,Kindle Edition
Don't Read the Comments,Eric  Smith,4.15,305,183,Inkyard Press,January,2020,368,Hardcover
Twenty,Debra Landwehr Engle,4.18,120,89,Kensington Publishing Corp.,January,2020,240,Paperback
The Prized Girl,Amy K. Green,3.8,365,144,Dutton Books,January,2020,384,Hardcover
Haven't They Grown,Sophie Hannah,3.96,440,199,Hodder & Stoughton,January,2020,336,Kindle Edition
Creatures,Crissy Van Meter,3.7,388,144,Algonquin Books,January,2020,256,Hardcover
Spellhacker,M.K. England,3.98,178,95,HarperTeen,January,2020,400,Hardcover
A Good Man,Ani Katz,3.41,310,131,William Heinemann,January,2020,224,Paperback
Blood Countess,Lana Popović,3.72,227,161,Harry N. Abrams,January,2020,293,Hardcover
Into the Fire,Gregg Hurwitz,4.6,808,267,Minotaur Books,January,2020,400,Hardcover
The Words I Never Wrote,Jane Thynne,4.21,148,98,Ballantine Books,January,2020,400,Hardcover
The Vanished Birds,Simon Jimenez,4.15,271,133,Del Rey Books,January,2020,391,Hardcover
A Queen in Hiding,Sarah Kozloff,3.81,141,75,Tor Books,January,2020,477,Paperback
Westering Women,Sandra Dallas,4.02,571,236,St. Martin's Press,January,2020,336,Hardcover
Wife After Wife,Olivia Hayfield,3.76,188,101,Berkley,January,2020,432,Paperback
The Vineyards of Champagne,Juliet Blackwell,4.21,142,54,Berkley,January,2020,388,Paperback
Interior Chinatown,Charles Yu,4.24,160,48,Pantheon Books,January,2020,288,Hardcover
Race to the Sun,Rebecca Roanhorse,4.13,343,110,Rick Riordan Presents,January,2020,306,Hardcover
Run Me to Earth,Paul Yoon,3.77,141,61,Simon  Schuster,January,2020,272,Hardcover
Keystone,Katie Delahanty,3.98,81,59,Entangled: Teen,January,2020,390,Paperback
Light Changes Everything,Nancy E. Turner,4.18,289,147,Thomas Dunne Books,January,2020,304,Hardcover
A Beginning at the End,Mike Chen,3.78,273,120,Thomas Dunne Books,January,2020,304,Hardcover
Cleanness,Garth Greenwell,4.29,452,102,"Farrar, Straus and Giroux",January,2020,240,Hardcover
Not So Pure and Simple,Lamar Giles,4.23,109,34,Quill Tree Books,January,2020,400,ebook
Rogue Princess,B.R.  Myers,3.65,142,88,Swoon Reads,January,2020,304,Hardcover
The Empty Bed,Nina Sadowsky,3.67,91,67,Ballantine Books,January,2020,301,Hardcover
Naked Came the Florida Man,Tim Dorsey,4.26,315,66,William Morrow,January,2020,327,Hardcover
Three Things I Know Are True,Betty Culley,4.24,212,79,HarperTeen,January,2020,480,ebook
We Wish You Luck,Caroline Zancan,3.61,148,50,Riverhead Books,January,2020,310,Hardcover
Riot Baby,Tochi Onyebuchi,4.09,289,102,Tor,January,2020,176,Kindle Edition
Kingdomtide,Rye Curtis,3.48,170,74,"Little, Brown and Company",January,2020,304,Hardcover
The Missing American,Kwei Quartey,3.9,89,28,Soho Crime,January,2020,432,Kindle Edition
From the Desk of Zoe Washington,Janae Marks,4.5,204,65,Katherine Tegen Books,January,2020,304,Hardcover
Too Close to Home,Andrew  Grant,3.98,85,54,Ballantine Books,January,2020,352,Kindle Edition
This Light Between Us,Andrew Fukuda,4.35,119,68,Tor Teen,January,2020,384,ebook
The Bard's Blade,Brian D. Anderson,3.82,72,45,Tor Books,January,2020,432,Paperback
