BookTitle,AuthorName,Avg_Rating,No_of_Rating,No_of_Review,Publication_Company,Publication_Month,Publication_Year,Page_NO,Type
The Starless Sea,Erin Morgenstern,4.12,12069,3433,Doubleday Books,November,2019,498,Hardcover
Blood Heir,Amélie Wen Zhao,3.96,1146,528,Delacorte Press,November,2019,464,Hardcover
The Deep,Rivers Solomon,3.86,1608,503,Gallery / Saga Press,November,2019,176,Hardcover
The Confession Club,Elizabeth Berg,3.8,1563,485,Random House,November,2019,304,Kindle Edition
Ali Cross,James Patterson,4.03,763,42,jimmy patterson,November,2019,320,Hardcover
Fate of the Fallen,Kel Kade,3.89,845,191,Tor Books,November,2019,400,ebook
The Revisioners,Margaret Wilkerson Sexton,3.9,434,87,Counterpoint,November,2019,288,Hardcover
Twenty-One Truths About Love,Matthew Dicks,3.72,673,426,St. Martin's Press,November,2019,352,Hardcover
Queen of the Conquered,Kacen Callender,3.74,146,60,Orbit,November,2019,400,Paperback
"The Other Windsor Girl: A Novel of Princess Margaret, Royal Rebel",Georgie Blalock,3.66,397,82,William Morrow Paperbacks,November,2019,377,Paperback
Nothing More Dangerous,Allen Eskens,4.39,581,152,Mulholland Books,November,2019,352,Kindle Edition
All-American Muslim Girl,Nadine Jolie Courtney,4.25,302,140,"Farrar, Straus and Giroux",November,2019,256,Hardcover
The Book of Lost Saints,Daniel José Older,4.38,118,38,Imprint,November,2019,336,ebook
Eight Will Fall,Sarah Harian,3.79,135,85,Henry Holt,November,2019,352,Hardcover
Unnatural Magic,C.M. Waggoner,4.11,179,70,Ace,November,2019,400,Paperback
The Last Affair,Margot Hunt,3.83,259,108,MIRA,November,2019,336,Paperback
The Andromeda Evolution,Daniel H. Wilson,3.69,929,168,Harper,November,2019,384,Hardcover
On Swift Horses,Shannon Pufahl,3.45,167,44,Riverhead Books,November,2019,320,Hardcover
The Worst Kind of Want,Liska Jacobs,3.57,161,41,MCD,November,2019,224,Hardcover
Poppy Redfern and the Midnight Murders,Tessa Arlen,4.0,188,64,Berkley,November,2019,320,Kindle Edition
Sisters of Shadow and Light,Sara B. Larson,3.96,243,135,Tor Teen,November,2019,368,Kindle Edition
Novice Dragoneer,E.E. Knight,4.11,198,63,Ace Books,November,2019,512,Paperback
Color Outside the Lines,Sangu Mandanna,3.98,116,51,Soho Teen,November,2019,312,Hardcover
"Mary Toft; or, The Rabbit Queen",Dexter Palmer,3.89,104,26,Pantheon Books,November,2019,336,Hardcover
The Accomplice,Joseph Kanon,3.79,346,53,Atria Books,November,2019,336,Hardcover
The Pursuit of William Abbey,Claire North,3.82,206,62,Orbit,November,2019,420,Paperback
La Tempête des Echos,Christelle Dabos,4.24,393,78,Gallimard Jeunesse,November,2019,564,Paperback
My Fake Rake,Eva Leigh,4.0,357,124,Avon,November,2019,384,ebook
Forever and a Duke,Grace Burrowes,3.97,294,54,Forever,November,2019,0,Kindle Edition
The Captain and the Glory: An Entertainment,Dave Eggers,3.55,271,57,Knopf Publishing Group,November,2019,128,Hardcover
Active Measures,Marc Cameron,4.3,138,19,Pinnacle,November,2019,448,Kindle Edition
In the Cradle Lies,Olivia Newport,4.45,128,106,Shiloh Run Press,November,2019,256,Paperback
Lady Takes the Case,Eliza Casey,3.63,49,24,Berkley Books,November,2019,304,Paperback
Inexpressible Island,Paullina Simons,4.09,85,19,HarperCollins,November,2019,0,Paperback
Fleabag: Scriptures,Phoebe Waller-Bridge,4.89,130,20,Ballantine Books,November,2019,368,Hardcover
The New Voices of Science Fiction,Hannu Rajaniemi,4.46,48,18,Tachyon Publications,November,2019,432,Paperback
Deadly Deceit,Natalie Walters,4.53,160,131,Revell,November,2019,336,Paperback
The Cost of Honor,Diana Munoz Stewart,4.1,29,24,Sourcebooks Casablanca,November,2019,352,Kindle Edition
Disaster's Children,Emma Sloley,3.38,64,39,Little A,November,2019,315,Kindle Edition
No Man's Land,Sara Driscoll,4.38,97,38,Kensington Books,November,2019,304,Kindle Edition
The Angels' Share,Ellen    Crosby,4.1,98,40,Minotaur Books,November,2019,368,Hardcover
Hot for the Holidays: Thirteen Naughty & Nice Novellas,Marie Force,3.96,246,57,,November,2019,1078,Kindle Edition
The Unicorn Project,Gene Kim,4.45,275,30,It Revolution Press,November,2019,345,Hardcover
