,BookTitle,AuthorName,Avg_Rating,No_of_Rating,No_of_Review,Publication_Company,Publication_Month,Publication_Year
0,Imaginary Friend,Stephen Chbosky,3.57,3330,1088,Grand Central Publishing,October,2019
1,The Fountains of Silence,Ruta Sepetys,4.34,3239,914,Philomel Books,October,2019
2,"Olive, Again",Elizabeth Strout,4.37,3895,915,Random House,October,2019
3,Find Me,André Aciman,3.49,1956,452,"Farrar, Straus and Giroux",October,2019
4,The Library of the Unwritten,A.J. Hackwith,3.91,806,288,Ace Books,October,2019
5,Blue Moon,Lee Child,4.16,5225,576,Delacorte Press,October,2019
6,Full Throttle,Joe Hill,4.13,1909,395,William Morrow,October,2019
7,Crier's War,Nina Varela,4.21,937,324,HarperTeen,October,2019
8,The Never Tilting World,Rin Chupeco,3.78,310,151,HarperTeen,October,2019
9,The Butterfly Girl,Rene Denfeld,3.94,1498,340,Harper,October,2019
10,Nothing to See Here,Kevin    Wilson,4.01,2206,461,Ecco,October,2019
11,I Hope You Get This Message,Farah Naz Rishi,3.81,332,123,HarperTeen,October,2019
12,Gravemaidens,Kelly Coon,3.77,391,247,Delacorte Press,October,2019
13,The Topeka School,Ben Lerner,3.75,879,249,"Farrar, Straus and Giroux",October,2019
14,A River of Royal Blood,Amanda  Joy,4.0,245,124,Putnam,October,2019
15,Ribbons of Scarlet: A Novel of the French Revolution,Kate Quinn,4.18,480,154,William Morrow & Company,October,2019
16,The Twisted Ones,T. Kingfisher,3.88,1166,271,Gallery / Saga Press,October,2019
17,All This Could Be Yours,Jami Attenberg,3.7,647,120,Houghton Mifflin Harcourt,October,2019
18,War Girls,Tochi Onyebuchi,3.8,214,125,Razorbill,October,2019
19,The Library of Lost Things,Laura Taylor Namey,4.0,465,215,Inkyard Press,October,2019
20,I Know You Remember,Jennifer Donaldson,3.77,193,62,Razorbill,October,2019
21,Grand Union: Stories,Zadie Smith,3.29,514,125,Penguin Press,October,2019
22,The Widow of Rose House,Diana Biller,4.08,701,328,St. Martin's Griffin,October,2019
23,The Christmas Spirits on Tradd Street,Karen   White,4.13,485,133,St. Martin's Griffin,October,2019
24,The Remaking,Clay McLeod Chapman,3.61,311,135,Quirk Books,October,2019
25,Beyond the Black Door,A.M.  Strickland,3.85,152,114,Imprint,October,2019
26,Tarnished Are the Stars,Rosiee Thor,4.14,243,111,Scholastic Press,October,2019
27,Full Disclosure,Camryn Garrett,4.07,395,190,Knopf Books for Young Readers,October,2019
28,The Bookworm Crush,Lisa Brown Roberts,4.08,118,66,Entangled: Teen,October,2019
29,The Lost Causes of Bleak Creek,Rhett McLaughlin,4.35,479,124,Crown,October,2019
