BookTitle,AuthorName,Avg_Rating,No_of_Rating,No_of_Review,Description,Page_Count
American Dirt,Jeanine Cummins,"
  4.15
",6698,1820,"Published
        January 21st 2020
         by Flatiron Books","Hardcover, 400 pages"
The Two Lives of Lydia Bird,Josie Silver,"
  4.02
",456,233,"Expected publication:
        March 3rd 2020
         by Ballantine Books

            
              (first published January 30th 2020)","Hardcover, 432 pages"
All the Ways We Said Goodbye,Beatriz Williams,"
  4.18
",970,275,"Published
        January 14th 2020
         by William Morrow","ebook, 448 pages"
The Other People,C.J. Tudor,"
  4.14
",1283,618,"Published
        January 23rd 2020
         by Penguin","Kindle Edition, 400 pages"
When We Were Vikings,Andrew David MacDonald,"
  4.01
",1163,410,"Published
        January 28th 2020
         by Scout Press","Kindle Edition, 336 pages"
Followers,Megan Angelo,"
  3.84
",1381,457,"Published
        January 14th 2020
         by Graydon House","Hardcover, 384 pages"
The Better Liar,Tanen Jones,"
  3.67
",1091,498,"Published
        January 14th 2020
         by Ballantine","ebook, 320 pages"
Woven in Moonlight,Isabel Ibañez,"
  4.17
",817,369,"Published
        January 7th 2020
         by Page Street Books","Kindle Edition, 384 pages"
Dark and Deepest Red,Anna-Marie McLemore,"
  3.75
",333,175,"Published
        January 14th 2020
         by Feiwel & Friends","Hardcover, 309 pages"
You Were There Too,Colleen Oakley,"
  3.97
",1405,503,"Published
        January 7th 2020
         by Berkley","Paperback, 320 pages"
Agency,William Gibson,"
  4.07
",815,159,"Published
        January 21st 2020
         by Berkley","Kindle Edition, 413 pages"
Topics of Conversation,Miranda Popkey,"
  2.87
",1601,356,"Published
        January 7th 2020
         by Knopf Publishing Group","Hardcover, 224 pages"
Highfire,Eoin Colfer,"
  3.81
",484,254,"Published
        January 28th 2020
         by Harper Perennial","Hardcover, 377 pages"
Dreamland,Nancy Bilyeau,"
  3.95
",392,224,"Published
        January 16th 2020
         by Endeavour Quill","Paperback, 386 pages"
Little Gods,Meng Jin,"
  3.53
",295,78,"Published
        January 14th 2020
         by Custom House","ebook, 288 pages"
The Look-Alike,Erica Spindler,"
  3.95
",626,455,"Published
        January 28th 2020
         by St. Martin's Press","Hardcover, 320 pages"
The Whispers of War,Julia  Kelly,"
  3.99
",455,220,"Published
        January 14th 2020
         by Gallery Books","Hardcover, 336 pages"
The Girls with No Names,Serena Burdick,"
  4.11
",540,154,"Published
        January 7th 2020
         by Park Row","Paperback, 336 pages"
Seven Deadly Shadows,Courtney Alameda,"
  3.82
",154,101,"Published
        January 28th 2020
         by HarperCollins","Hardcover, 288 pages"
Cartier's Hope,M.J. Rose,"
  3.82
",289,210,"Published
        January 28th 2020
         by Atria Books","Hardcover, 336 pages"
How Quickly She Disappears,Raymond Fleischmann,"
  3.33
",421,225,"Published
        January 14th 2020
         by Berkley

            
              (first published January 2020)","Hardcover, 320 pages"
The Janes,Louisa Luna,"
  4.11
",375,195,"Published
        January 21st 2020
         by Doubleday","Kindle Edition, 368 pages"
We Used To Be Friends,Amy Spalding,"
  3.57
",376,167,"Published
        January 7th 2020
         by Amulet","Kindle Edition, 384 pages"
Don't Read the Comments,Eric  Smith,"
  4.15
",305,183,"Published
        January 28th 2020
         by Inkyard Press","Hardcover, 368 pages"
Twenty,Debra Landwehr Engle,"
  4.18
",120,89,"Published
        January 28th 2020
         by Kensington Publishing Corp.","Paperback, 240 pages"
The Prized Girl,Amy K. Green,"
  3.80
",365,144,"Published
        January 14th 2020
         by Dutton Books","Hardcover, 384 pages"
Haven't They Grown,Sophie Hannah,"
  3.96
",440,199,"Published
        January 23rd 2020
         by Hodder & Stoughton","Kindle Edition, 336 pages"
Creatures,Crissy Van Meter,"
  3.70
",388,144,"Published
        January 7th 2020
         by Algonquin Books","Hardcover, 256 pages"
Spellhacker,M.K. England,"
  3.98
",178,95,"Published
        January 21st 2020
         by HarperTeen","Hardcover, 400 pages"
A Good Man,Ani Katz,"
  3.41
",310,131,"Published
        January 16th 2020
         by William Heinemann

            
              (first published January 14th 2020)","Paperback, 224 pages"
Blood Countess,Lana Popović,"
  3.72
",227,161,"Published
        January 28th 2020
         by Harry N. Abrams","Hardcover, 293 pages"
Into the Fire,Gregg Hurwitz,"
  4.60
",808,267,"Published
        January 28th 2020
         by Minotaur Books","Hardcover, 400 pages"
The Words I Never Wrote,Jane Thynne,"
  4.21
",148,98,"Published
        January 21st 2020
         by Ballantine Books","Hardcover, 400 pages"
The Vanished Birds,Simon Jimenez,"
  4.15
",271,133,"Published
        January 14th 2020
         by Del Rey Books","Hardcover, 391 pages"
