BookTitle,AuthorName,Avg_Rating,No_of_Rating,No_of_Review,Description,Page_Count
The Starless Sea,Erin Morgenstern,"
  4.12
",12069,3433,"Published
        November 5th 2019
         by Doubleday Books","Hardcover, 498 pages"
Blood Heir,Amélie Wen Zhao,"
  3.96
",1146,528,"Published
        November 19th 2019
         by Delacorte Press","Hardcover, 464 pages"
The Deep,Rivers Solomon,"
  3.86
",1608,503,"Published
        November 5th 2019
         by Gallery / Saga Press","Hardcover, 176 pages"
The Confession Club,Elizabeth Berg,"
  3.80
",1563,485,"Published
        November 19th 2019
         by Random House","Kindle Edition, 304 pages"
Ali Cross,James Patterson,"
  4.03
",763,42,"Published
        November 25th 2019
         by jimmy patterson","Hardcover, 320 pages"
Fate of the Fallen,Kel Kade,"
  3.89
",845,191,"Published
        November 5th 2019
         by Tor Books","ebook, 400 pages"
The Revisioners,Margaret Wilkerson Sexton,"
  3.90
",434,87,"Published
        November 5th 2019
         by Counterpoint","Hardcover, 288 pages"
Twenty-One Truths About Love,Matthew Dicks,"
  3.72
",673,426,"Published
        November 19th 2019
         by St. Martin's Press","Hardcover, 352 pages"
Queen of the Conquered,Kacen Callender,"
  3.74
",146,60,"Published
        November 12th 2019
         by Orbit","Paperback, 400 pages"
"The Other Windsor Girl: A Novel of Princess Margaret, Royal Rebel",Georgie Blalock,"
  3.66
",397,82,"Published
        November 5th 2019
         by William Morrow Paperbacks","Paperback, 377 pages"
Nothing More Dangerous,Allen Eskens,"
  4.39
",581,152,"Published
        November 12th 2019
         by Mulholland Books","Kindle Edition, 352 pages"
All-American Muslim Girl,Nadine Jolie Courtney,"
  4.25
",302,140,"Published
        November 12th 2019
         by Farrar, Straus and Giroux","Hardcover, 256 pages"
The Book of Lost Saints,Daniel José Older,"
  4.38
",118,38,"Published
        November 5th 2019
         by Imprint","ebook, 336 pages"
Eight Will Fall,Sarah Harian,"
  3.79
",135,85,"Published
        November 26th 2019
         by Henry Holt","Hardcover, 352 pages"
Unnatural Magic,C.M. Waggoner,"
  4.11
",179,70,"Published
        November 5th 2019
         by Ace","Paperback, 400 pages"
The Secret Chapter,Genevieve Cogman,"
  4.33
",542,82,"Expected publication:
        January 7th 2020
         by Ace

            
              (first published November 12th 2019)","Paperback, 336 pages"
The Last Affair,Margot Hunt,"
  3.83
",259,108,"Published
        November 26th 2019
         by MIRA","Paperback, 336 pages"
The Andromeda Evolution,Daniel H. Wilson,"
  3.69
",929,168,"Published
        November 12th 2019
         by Harper","Hardcover, 384 pages"
On Swift Horses,Shannon Pufahl,"
  3.45
",167,44,"Published
        November 5th 2019
         by Riverhead Books","Hardcover, 320 pages"
