,BookTitle,AuthorName,Avg_Rating,No_of_Rating,No_of_Review,Description
0,Imaginary Friend,Stephen Chbosky,"
  3.57
",3330,1088,"Published
        October 1st 2019
         by Grand Central Publishing"
1,The Fountains of Silence,Ruta Sepetys,"
  4.34
",3239,914,"Published
        October 1st 2019
         by Philomel Books"
2,"Olive, Again",Elizabeth Strout,"
  4.37
",3895,915,"Published
        October 15th 2019
         by Random House"
3,Find Me,André Aciman,"
  3.49
",1956,452,"Published
        October 29th 2019
         by Farrar, Straus and Giroux"
4,The Library of the Unwritten,A.J. Hackwith,"
  3.91
",806,288,"Published
        October 1st 2019
         by Ace Books"
5,Blue Moon,Lee Child,"
  4.16
",5225,576,"Published
        October 29th 2019
         by Delacorte Press"
6,Full Throttle,Joe Hill,"
  4.13
",1909,395,"Published
        October 1st 2019
         by William Morrow"
7,Crier's War,Nina Varela,"
  4.21
",937,324,"Published
        October 1st 2019
         by HarperTeen"
8,The Never Tilting World,Rin Chupeco,"
  3.78
",310,151,"Published
        October 15th 2019
         by HarperTeen"
9,The Butterfly Girl,Rene Denfeld,"
  3.94
",1498,340,"Published
        October 1st 2019
         by Harper"
10,Nothing to See Here,Kevin    Wilson,"
  4.01
",2206,461,"Published
        October 29th 2019
         by Ecco"
11,I Hope You Get This Message,Farah Naz Rishi,"
  3.81
",332,123,"Published
        October 22nd 2019
         by HarperTeen"
12,Gravemaidens,Kelly Coon,"
  3.77
",391,247,"Published
        October 29th 2019
         by Delacorte Press"
13,The Topeka School,Ben Lerner,"
  3.75
",879,249,"Published
        October 1st 2019
         by Farrar, Straus and Giroux"
14,A River of Royal Blood,Amanda  Joy,"
  4.00
",245,124,"Published
        October 29th 2019
         by Putnam"
15,Ribbons of Scarlet: A Novel of the French Revolution,Kate Quinn,"
  4.18
",480,154,"Published
        October 1st 2019
         by William Morrow & Company"
16,The Twisted Ones,T. Kingfisher,"
  3.88
",1166,271,"Published
        October 1st 2019
         by Gallery / Saga Press"
17,All This Could Be Yours,Jami Attenberg,"
  3.70
",647,120,"Published
        October 22nd 2019
         by Houghton Mifflin Harcourt"
18,War Girls,Tochi Onyebuchi,"
  3.80
",214,125,"Published
        October 15th 2019
         by Razorbill"
19,The Library of Lost Things,Laura Taylor Namey,"
  4.00
",465,215,"Published
        October 8th 2019
         by Inkyard Press"
20,I Know You Remember,Jennifer Donaldson,"
  3.77
",193,62,"Published
        October 8th 2019
         by Razorbill"
21,Grand Union: Stories,Zadie Smith,"
  3.29
",514,125,"Published
        October 8th 2019
         by Penguin Press"
22,The Widow of Rose House,Diana Biller,"
  4.08
",701,328,"Published
        October 8th 2019
         by St. Martin's Griffin"
23,The Christmas Spirits on Tradd Street,Karen   White,"
  4.13
",485,133,"Published
        October 8th 2019
         by St. Martin's Griffin"
24,The Remaking,Clay McLeod Chapman,"
  3.61
",311,135,"Published
        October 8th 2019
         by Quirk Books"
25,Beyond the Black Door,A.M.  Strickland,"
  3.85
",152,114,"Published
        October 29th 2019
         by Imprint"
26,Tarnished Are the Stars,Rosiee Thor,"
  4.14
",243,111,"Published
        October 15th 2019
         by Scholastic Press"
27,Full Disclosure,Camryn Garrett,"
  4.07
",395,190,"Published
        October 29th 2019
         by Knopf Books for Young Readers"
28,The Bookworm Crush,Lisa Brown Roberts,"
  4.08
",118,66,"Published
        October 1st 2019
         by Entangled: Teen"
29,The Lost Causes of Bleak Creek,Rhett McLaughlin,"
  4.35
",479,124,"Published
        October 29th 2019
         by Crown"
30,Agent Running in the Field,John le Carré,"
  4.15
",1242,167,"Published
        October 22nd 2019
         by Viking"
31,"Thirteen Doorways, Wolves Behind Them All",Laura Ruby,"
  4.22
",410,112,"Published
        October 1st 2019
         by Balzer + Bray"
32,Tuesday Mooney Talks to Ghosts,Kate Racculia,"
  4.01
",662,271,"Published
        October 8th 2019
         by Houghton Mifflin Harcourt

            
              (first published October 1st 2019)"
33,The Last True Poets of the Sea,Julia Drake,"
  4.16
",398,165,"Published
        October 1st 2019
         by Disney-Hyperion"
34,Tristan Strong Punches a Hole in the Sky,Kwame Mbalia,"
  4.42
",318,132,"Published
        October 15th 2019
         by Rick Riordan Presents"
35,The Speed of Falling Objects,Nancy Richardson Fischer,"
  4.26
",248,164,"Published
        October 1st 2019
         by Inkyard Press"
